,recipe,ingredients
4475,"Eden Organic Spicy Pumpkin Dry Roasted Seeds, 4 oz ()","Organic Dry Roasted Pumpkin Seeds,Organic Tamari Soy Sauce (Water,Organic Soybeans,Sea Salt) Organic Garlic,Organic Cayenne Pepper.,Organic Tamari Soy Sauce (Water, Organic Soybeans, Sea Salt),Organic Garlic"
4476,"Green Mountain Coffee Light Roast Single Serve for Keurig, Hazelnut, 12 Ct","100% Arabica Coffee.,100 Arabica Coffee. Green Mountain Coffee K-Cup Pods Hazelnut - 12 CT.,Artificially flavored coffee.,Same great taste.,For use in all Keurig K-Cup brewers.,12-0.33 oz (9.4g),.,Long before you take your first sip,we've been finding and roasting the highest quality coffee in the world while building good relationships with the farmers who grow it.,When our customers have the chance to enjoy the freshest,best-tasting coffee around,we know we've done a good day's work.,Indulge in the sweet,buttery flavor of hazelnuts.,A lighter-roasted coffee,our hazelnut is rich and satisfying with the flavor of warm,roasted nuts.,Made with 100 Arabica coffee.,Printed in U.S.A.,This package is made with a minimum of 35 post-consumer materials.,For inquiries contact: Keurig Green Mountain,Inc.,1-866-901-BREW/1-866-901-2739 www.keurig.com.,2015 Keurig Green Mountain"
4477,"The Ginger People Gin Gins Ginger Spice Drops, 3.5 Oz","Cane Sugar,Tapioca Syrup,Ginger Juice,Pectin,Citric Acid,Freeze-Dried Ginger,Sodium Citrate,Color Added (Turmeric).,Ginger People Ginger Spice Drops 3.5 oz Case of 24"
4478,Arizona Tea Diet Blueberry Green Tea 128 Oz Gallon,"Premium Brewed Green Teas Using Filtered Water,Sorbitol,Natural Flavors,Citric Acid,Black Carrot Extract (for Color),Sucralose (Splenda Brand),Acesulfame Potassium.,Premium Brewed Green Tea Using Filtered Water,Black Carrot Extract,Sucralose"
4479,Alpen No Added Sugar Muesli Cereal - Case of 1 - 14 oz.,"Rolled Whole Oat Flakes, Whole Wheat, Raisins (may be coated with Expeller Pressed Canola or Sunflower Oil), Brown Sugar, Whole Barley, Skim Milk Powder, Roasted Hazelnuts, Malt Extract, Sliced Almonds.,Rolled Whole Oat Flakes,Whole Wheat,Raisins (may be coated with Expeller Pressed Canola or Sunflower Oil),Brown Sugar,Whole Barley,Skim Milk Powder,Roasted Hazelnuts,Malt Extract,Sliced Almonds."
4480,Yogi Tahitian Tea Vanilla Hazelnut - 16 CT,"Natural Butterscotch Flavor,Natural Vanilla Flavor,Natural Hazelnut Flavor,Natural Cinnamon Bark Oil."
4481,Traditional Medicinals Laxative Teas Organic Smooth Move Chamomile Tea Bags - 16 CT,"All Herbal Ingredients: Organic Senna Leaf [PhEur]**,Proprietary Blend,Organic Chamomile Flower,Organic Bitter Fennel Fruit,Organic Peppermint Leaf.,Organic Senna Leaf,Chamomile Flower,Organic Butter Fennel Fruit"
4482,GlutinoÂ® Gluten Free Pretzel Sticks 14.1 oz. Bag,"Corn Starch,Potato Starch,Rice Flour,Soluble Corn Fiber,Palm Oil,Salt,Sugar,Cellulose Gum,Soy Lecithin,Sodium Bicarbonate,Yeast Extract,Sodium Acid Pyrophosphate,Citric Acid.,Sea Salt,Citric Acid,Sodium Hydroxide. Contains Soy. May Contain Traces of Sesame."
4483,"Organic Coffee Company Ground Coffee, Zen Blend, 12 Oz, 1 Ct","Arabica Organic Coffee (Flavored Coffees Also Contain Natural Flavors).,Arabica Organic Coffee (Flavored Coffees Also Contain Natural Flavors),."
4484,"Frontier Organic Vanilla Flavoring, 4 Oz","Organic Glycerine,Organic Vanilla Bean Extractives in Water.,Organic glycerine, organic vanilla bean extractives in water.,Organic glycerine,organic vanilla bean extractives in water."
4485,"Original Gourmet Medley Original and Cream Lollipops, 18.5 oz","Sugar,Corn Syrup,Cream (Milk),Coconut Oil,Natural And Artificial Flavors,(May Contain Propylene Glycol,Capric Triglycerides),Soy Lecithin,Artificial Color (May Contain Titanium,FD&C Red #3 & #40,Blue #1 & #2,Yellow #5 & #6,Glycerin,Hydrogenated Cottonseed Oil,Dextrose),Buffered Lactic Acid,Water,Salt. Contains Milk,Coconut,And Soy.,(May Contain Propylene Glycol, Capric Triglycerides),Artificial Color (May Contain Titanium, FD&C Red #3 & #40, Blue #1 & #2, Yellow #5 & #6, Glycerin, Hydrogenated Cottonseed Oil, Dextrose)"
4486,Stash Organic Decaf Premium Green Tea - 18 CT,"Blend of naturally Decaffeinated Organic Green Tea.,Blend of Organic Green Tea (Fair Trade Certified),."
4487,"Stacy's Pita Chip, Cinnamon Sugar, 7.33 Ounce","Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid),Sunflower Oil and/Or Canola Oil,Sugar,and Less Than 2% of The Following: Whole Wheat Flour,Organic Cane Sugar,Brown Sugar,Cinnamon,Sea Salt,Yeast,Oat Fiber,Malted Barley Flour,Rosemary Extract (Antioxidant),and Ascorbic Acid (Antioxidant),."
4488,"Orbit Cinnamon Sugarfree Gum, single pack","Made Of: Sorbitol,Gum Base,Glycerol,Natural And Artificial Flavors; less than 2% of: Hydrogenated Starch Hydrolysate,Aspartame,Mannitol,Acesulfame K,Soy Lecithin,Colors (Red 40,Red 40 Lake,Yellow 6),Xylitol,BHT (to maintain freshness).,Made of: Sorbitol,Natural and Artificial Flavors Less than 2 of: Hydrogenated Starch Hydrolysate,Colors (Red 40, Red 40 Lake, Yellow 6),BHT (to Maintain Freshness),."
4489,MelittaÂ® French Vanilla Medium Roast Ground Coffee 11 oz. Canister,"Coffee,with Artificial & Natural Flavors."
4490,"Orville Redenbacher's Skinnygirl Lime _ Sea Salt Popcorn, Single Serve Bags","Whole Grain Popping Corn,Palm Oil,Sea Salt,Natural Flavor,Mixed Tocopherols (Vitamin E for freshness).,Whole grain popping corn, palm oil, sea salt, natural flavor, mixed tocopherols (for Freshness).,Mixed Tocopherols (for freshness),."
4491,"FAVORIT PRESERVE STRWBRY, 12.3 OZ","Strawberries,Sugar,Glucose Syrup,Dextrose,Citric Acid,Fruit Pectin."
4492,Damak Dark Chocolate 2.82oz,"Chocolate Processed with Alkali,Sugar,Pistachios,Cocoa Butter,Cocoa Processed with Alkali,Milkfat,Sunflower Lecithin,Vanillin (Artificial Flavor).,Vanillin (Artificial Flavor),."
4493,"Planters Salted Cashews, 1 oz, 24 ct","Cashews, Peanut and/Or Cottonseed Oil, Salt. Allergy Information: Manufactured On Equipment That Processes Peanuts and Other Tree Nuts."
4494,"Hoosier Hill Farm Nutritional Yeast Flakes, 1 Pound","Inactive Dried Yeast, Niacin (B3), Pyridoxine Hydrochloride (B6), Riboflavin (B2), Thiamin Hydrochloride (B1), Folic Acid and Vitamin B12. **Packaged in a Facility that processes soy, peanuts, wheat, milk and egg.,Inactive Dried Yeast,Niacin (B3),Pyridoxine Hydrochloride (B6),Riboflavin (B2),Thiamin Hydrochloride (B1),Folic Acid and Vitamin B12. **Packaged in a Facility that processes soy,peanuts,wheat,milk and egg."
4495,Gatorade Fruit Punch Sports Drink 20oz 8pk,"Water,Sugar,Dextrose,Citric Acid,Salt,Sodium Citrate,Monopotassium Phosphate,Modified Food Starch,Natural Flavor,Red 40,Glycerol Ester of Rosin,Caramel Color."
4496,"La Croix Sparkling Water, Lime, 12 ounce Can (Pack of 12)","Carbonated Water,Natural Flavor."
4497,"Hormel Compleats Beef Pot Roast with Potatoes & Carrots, 9oz Microwavable Bowls","Potatoes,Beef (Beef,Water,Salt),Beef Broth,Carrots,Contains 2% or Less of Beef Fat,Modified Cornstarch,Bleached Wheat Flour (Contains an Enzyme),Salt,Yeast Extract,Flavoring,Flavor (Yeast Extract,Potato Maltodextrin,Natural Flavor),Beef Flavoring (Beef Extract,Spices,Sugar,Caramel Color.,water,roast beef (beef, salt, sodium phosphates),carrots,beef fat,modified cornstarch,wheat flour,salt,beef type flavor (hydrolyzed soy/corn/wheat protein, onion powder, salt, corn syrup solids, disodium inosinate and disodium guanylate, soybean oil),flavoring,potato starch,monosodium glutamate,caramel color,spices."
4498,"Kraft Natural Cheese Shreds, Mexican Style Four Cheese","Monterey Jack Cheese,Milk,Cheese Cultures,Sodium Chloride,Enzymes,Cheddar Cheese,Annatto,Asadero Cheese,Citric Acid,Vinegar,Potato Starch,Cellulose Powder,Calcium Sulfate,Natamycin"
4499,Flora Dried Fruit and Nut Gift Tray,"3 lbs.,of Dried Pears,Dried Peaches,Dried Apricots,Dried Blenheim Apricots,Dried Angelino Plums,Dates,Date Nut Rolls coated with Coconut,Prunes Roasted Salted Almonds,Roasted Salted Cashews in wooden tray with carved handles,tied with raffia ribbon."
4500,"Walkers Shortbread Stem Ginger Biscuits, 5.3 Ounce","Wheat Flour,Vegetable Shortening (Canola,Palm),Sugar,Candied Stem Ginger (Stem Ginger,Sugar),Golden Syrup (Partially Inverted Refiners Syrup),Oat Flakes,Leavening (Baking Soda,Disodium Diphosphate),Skim Milk Solids,Ground Ginger,Salt.,Vegetable Shortening (Partially Hydrogenated Canola Oils),Stem Ginger,Leavening (Baking Soda, Disodium Diphosphate),Invert Sugar Syrup,Salt,Ground Ginger."
4501,"Nile Spice Soup, Split Pea, 1.8 Ounce (Pack of 12)","Split peas, dehydrated vegetables (potato, onions, carrots, celery, garlic), autolyzed yeast extract, salt, spices, natural flavors, corn starch and citric acid."
4502,"El Rio Fajita Mix Foil Pkt, 1-Ounce (Pack of 20)","Degerminated Yellow Cornmeal,Salt,Dextrose,Garlic Powder,Ground Chili Peppers*,Onion Powder,Caramel Color,Spices,Soybean Oil,and Parsley*.*Dehydrated."
4503,Folgers Classic Roast Instant Coffee,"Pure Coffee (100%).,Pure Coffee (100),."
4504,Equal Coffee and Tea Sweetener Sugar Free Sweetener with No Calories Artificial Diet Sugar Replacement Sucralose Sweetener,"Dextrose With Maltodextrin,Sucralose."
4505,"Lowrey's Hot & Spicy Bacon Curls, Microwave Pork Rinds (Chicharrones), 1.75 Ounce Package, (Pack of 18)","pork rinds, maltodextrin, salt, less than 2% of natural flavorings, extractives of paprika, monosodium glutamate"
4506,Equal Sugar Substitute 115ct,"Dextrose With Maltodextrin,Aspartame,Acesulfame Potassium."
4507,Coca-cola Soda 16.9 Oz 6 Pk,"Carbonated Water,High Fructose Corn Syrup,Caramel Color,Phosphoric Acid,Natural Flavors,Caffeine."
4508,"Krusteaz Bakery Style Snickerdoodle Cookie Mix, 17.5-Ounce Boxes (Pack of 12)","Cookie Mix Ingredients: Sugar,Enriched Bleached Flour (Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid, Malted Barley Flour),Soybean Oil,Less than 2 of: Natural and Artificial Flavors,Cream of Tartar,Salt,Baking Soda.Cinnamon-Sugar Ingredients: Sugar,Cinnamon,Soybean Oil."
4509,5-oz Fruit Snacks,"Fruit Puree (Pear,Peach,Strawberry,Raspberry,Blackberry,Blueberry,and Cherry),Corn Syrup,Sugar,Modified Corn Starch,Gelatin,Citric Acid,Lactic Acid,Natural and Artificial Flavors,Ascorbic Acid (Vitamin C),Alpha Tocopherol Acetate (Vitamin E),Vitamin A Palmitate,Sodium Citrate,Coconut Oil,Carnauba Wax,Red 40,and Blue 1.,Fruit Puree (Pear, Peach, Strawberry, Raspberry, Blackberry, Blueberry, and Cherry)"
4510,Teff Flour,"Whole grain teff,Whole Grain Teff.,Whole Grain Teff"
4511,Buttermilk Pancake & Waffle Mix,"organic whole grain wheat flour,organic enriched wheat flour (flour,niacin,reduced iron,thiamin mononitrate,riboflavin,folic acid),buttermilk powder (buttermilk,whey),baking powder (monocalcium phosphate,sodium bicarbonate,corn starch),sea salt,sodium bicarbonate,Organic Whole Grain Wheat Flour,Organic Enriched Wheat Flour (Flour,Niacin,Reduced Iron,Thiamin Mononitrate,Riboflavin,Folic Acid),Buttermilk Powder (Buttermilk,Whey),Baking Powder (Monocalcium Phosphate,Sodium Bicarbonate,Corn Starch),Sea Salt,Sodium Bicarbonate.,Organic whole grain wheat flour, organic enriched wheat flour (flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), buttermilk powder (buttermilk, whey), baking powder (monocalcium phosphate, sodium bicarbonate, corn starch), sea salt, sodium bicarbonate. Contains Wheat and milk."
4512,Motts For Tots Apple - 8pk/6.75 Fl Oz,"Purified Water,Apple Juice Concentrate,Ascorbic Acid (Vitamin C),Natural Flavors,Alpha Tocopheryl Acetate (Vitamin E),Vitamin A Palmitate.,Purified Water, Apple Juice Concentrate, Ascorbic Acid (Vitamin C), Natural Flavors.,Natural Flavors."
4513,Gatorade Lemon Lime Sports Drink Mix 18.4 Oz,"Sucrose,Dextrose,Citric Acid,Salt,Sodium Citrate,Natural Lemon And Lime Flavors,Monopotassium Phosphate,Calcium Silicate (A Flow Agent),Yellow 5."
4514,RagÃº Old World Style Traditional Sauce 24 oz.,"Tomato Puree (Water,Tomato Paste),Soybean Oil,Salt,Sugar,Dehydrated Onions,Extra Virgin Olive Oil,Spices,Romano Cheese Made From Cow's Milk (Cultured Part-Skim Milk,Enzymes),Natural Flavors.,Grated Romano Cheese (Pasteurized Part-Skim Cow's Milk,Cheese Cultures,Natural Flavor.,Tomato Puree (Water, Tomato Paste), Soybean Oil, Salt, Sugar, Dehydrated Onions, Extra Virgin Olive Oil, Spices, Romano Cheese (Part-Skim Milk, Cheese Cultures, Salt, Enzymes), Natural Flavor."
4515,Betty CrockerÂ® Scooby Doo Fruit Flavored Snacks Assorted Flavors Value Pack 20 - 0.8 oz Pouches,"Corn Syrup,Sugar,Modified Corn Starch,Apple Juice Concentrate. Contains 2% or Less of: Citric Acid,Fruit Pectin,Sodium Citrate,Malic Acid,Dextrose,Vitamin C (Ascorbic Acid),Sunflower Oilâ€ ,Â Color (Vegetable Juice,Spirulina Extract,Fruit Juice,Â Turmeric Extract,andÂ Annatto Extract),Natural Flavor,Carnauba Wax.â€ Adds a trivial amount of fat.,Sunflower Oilï¿½ï¿½ï¿½,ï¿½ï¿½Color (Vegetable Juice,Fruit Juice,ï¿½ï¿½Turmeric Extract,andï¿½ï¿½Annatto Extract),Carnauba Wax.ï¿½ï¿½ï¿½Adds a trivial amount of fat."
4516,California Delicious Ultimate Meat and Cheese Gift Crate,"Brie Cheese Spread (3.5 oz each, 1 count); Monterey Jack Cheese (3.5 oz each, 1 count); Merlot Cheddar Cheese (3.5 oz each, 1 count); Summer Sausage (5 oz each, 4 count); Mustard (1.75 oz each, 1 count); Extra Virgin Olive Oil (1 count); Balsamic Vinegar (1 count); Dried Apricots (4 oz each, 1 count); Dried Pears (3 oz each, 1 count); Mixed Dried Fruit (3 oz each, 1 count); Pistachios (3 oz each, 1 count)"
4517,Kellogg's Pop-Tarts Strawberry Unfrosted - 8 CT,"Enriched Flour (Wheat Flour,Niacin,Reduced Iron,Vitamin Bï¿½ï¿½ï¿½ [Thiamin Mononitrate],Vitamin Bï¿½ï¿½ï¿½ [Riboflavin],Folic Acid),Corn Syrup,High Fructose Corn Syrup,Dextrose,Soybean and Palm Oil (With TBHQ for freshness),Cracker Meal,Contains two percent or less of Wheat Starch,Salt,Dried Strawberries,Dried Pears,Dried Apples,Leavening (Baking Soda,Sodium Acid Pyrophosphate,Monocalcium Phosphate),Citric Acid,Caramel Color,Soy Lecithin,Xanthan Gum,Modified Wheat Starch,Vitamin A Palmitate,Red 40,Niacinamide,Vitamin Bï¿½ï¿½ï¿½ (Pyridoxine Hydrochloride),Yellow 6,Vitamin Bï¿½ï¿½ï¿½ (Riboflavin),Vitamin Bï¿½ï¿½ï¿½ (Thiamin Hydrochloride).,Vitamin Bâ‚ [Thiamin Mononitrate],Vitamin Bâ‚‚ [Riboflavin],Vitamin Bâ‚† (Pyridoxine Hydrochloride),Vitamin Bâ‚‚ (Riboflavin),Vitamin Bâ‚ (Thiamin Hydrochloride).,ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, VITAMIN B1 [THIAMIN MONONITRATE], VITAMIN B2 [RIBOFLAVIN], FOLIC ACID), CORN SYRUP, HIGH FRUCTOSE CORN SYRUP, DEXTROSE, SOYBEAN AND PALM OIL (WITH TBHQ FOR FRESHNESS), CRACKER MEAL, CONTAINS TWO PERCENT OR LESS OF WHEAT STARCH, SALT, DRIED STRAWBERRIES, DRIED PEARS, DRIED APPLES, LEAVENING (BAKING SODA, SODIUM ACID PYROPHOSPHATE, MONOCALCIUM PHOSPHATE), CITRIC ACID, CARAMEL COLOR, SOY LECITHIN, XANTHAN GUM, MODIFIED WHEAT STARCH, VITAMIN A PALMITATE, RED 40, NIACINAMIDE, REDUCED IRON, VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE), YELLOW 6, VITAMIN B2 (RIBOFLAVIN), VITAMIN B1 (THIAMIN HYDROCHLORIDE)."
4518,Nestle Crunch Candy Bars Fun Size 11 Oz,"Milk Chocolate (Sugar,Chocolate,Cocoa Butter,Nonfat Milk,Milkfat,Lactose,Soy Lecithin,Natural Flavor),Crisped Rice (Rice Flour,Sugar,Barley Malt,Salt)."
4520,BigelowÂ® Perfect PeachÂ® Herbal Tea 1.37 oz. Box,"Rose Hips,Hibiscus,Peaches,Natural and Artificial Peach Flavor (Soy Lecithin),Spices,Orange Peel,Lemon Peel,Apples,Strawberry leaves,Roasted Chicory."
4522,Sunbutter Sunflower Spread No-Stir - Creamy 16 oz (454 grams) Jar,"Sunflower seed,evaporated cane syrup,palm oil to prevent separation,salt,and natural mixed tocopherols to preserve freshness.Allergy Statement: Made on equipment which also roasts soy.Processed in a peanut free and tree nut free facility."
4523,Kuner's Black Beans 15 OZ (Pack of 4),"Prepared Black Beans,Water,Salt."
4524,Celestial Seasonings - Sugar Cookie Sleigh Ride Holiday Herb Tea - 20 Tea Bags,"Milk Thistle,Roasted Barley,Orange Peel,Natural Sugar Cookie Flavor with Other Natural Flavors and Vanilla Bean."
4525,Durkee Sauce Famous,"Soybean Oil,Water,Distilled Vinegar,Sugar,Mustard,Salt,Whole Egg Solids,Food Starch-Modified,Xanthan Gum,Spice Extractives. Contains Egg."
4526,"Pineapple Chunks in its Own Juice , 15.25 oz (432 g)","Pineapple,Pineapple Juice."
4527,Twinings Herbal Unwind Tea,"Honeybush,Natural Orange and Mandarin Flavours with Other Natural Flavours."
4528,Endangered Species Chocolate,"Bittersweet Chocolate (Chocolate Liquor (Cocoa Comes from Rainforest Alliance Certified Farms), Cane Sugar, Cocoa Butter (Cocoa Comes from Rainforest Alliance Certified Farms), Soy Lecithin, Vanilla),."
4529,"Chewy Dipps Granola Bars, Chocolatey Covered, Chocolate Chip, 8 - 1.1 oz (31 g) bars 8.7 oz (248 g)","Granola (Whole Grain Rolled Oats, Whole Grain Rolled Wheat, Sugar, Sunflower Oil, High Fructose Corn Syrup, Molasses, Dried Coconut, Honey, Sodium Bicarbonate, Natural Flavor, Whey Protein Concentrate),Sugar,Partially Hydrogenated Palm Kernel and Palm Oil (Adds a Dietarily Insignificant Amount of Trans Fat),Crisp Rice (Rice Flour, Sugar, Barley Malt, Salt),Corn Syrup,Semisweet Chocolate Chips (Sugar, Chocolate Liquor, Cocoa Butter, Soy Lecithin, Vanilla Extract),High Fructose Corn Syrup,Whey,Brown Sugar,Corn Syrup Solids,Glycerin,Lactose,Partially Hydrogenated Soybean Oil (Adds a Dietarily Insignificant Amount of Trans Fat),Cocoa,Cocoa Processed with Alkali,Sorbitol,Milkfat,Salt,Soy Lecithin,Glyceryl Lacto Esters of Fatty Acids,Natural and Artificial Flavor,BHT (Preservative),Citric Acid."
4530,"RICKS PICKS BEAN GRN MEAN PICKLED, 15 OZ","Green Beans,Vinegar,Water,Garlic,Salt,Dill,Cayenne Pepper."
4532,"Lipton Lemon Sweetened With Sugar Iced Tea Mix, 26.5 Oz","Cane Sugar,Citric Acid (Provides Tartness),Instant Tea Powder,Silicon Dioxide (Prevents Caking),Maltodextrin,Natural Flavor,Red 40,Sugar,Instant Tea,Natural Lemon Flavor."
4533,"Stretch Island All-Natural Fruit Strips - Autumn Apple, 0.5 Ounce Strips","Apple Puree Concentrate,Natural Apple Flavor with Other Natural Flavors,Lemon Juice Concentrate.,Apple Puree Concentrate, Natural Lemon Juice Concentrate, Natural Apple Flavor"
4534,"Raisin Bran Cereal, 20.0 OZ","Ingredients: Whole Grain Wheat,Raisins,Wheat Bran,Sugar,Wheat Flour,Malted Barley Flour,Salt.Vitamins and Minerals: Reduced Iron,Niacinamide,Zinc Oxide (Source of Zinc),Vitamin B6,Vitamin A Palmitate,Riboflavin (Vitamin B2),Thiamin Mononitrate (Vitamin B1),Folic Acid,Vitamin B12,Vitamin D.,Whole Grain Wheat"
4535,Numi Organic Tea Honeybush Tea Bags - 18 CT,"Organic Honeybush.,Organic Honeybush. Numi Honeybush Organic Caffeine Free Tea Bags.,Caffeine free.,Real ingredients.,Numi Organic Caffeine Free Tea Bags Honeybush - 18 CT.,100.,Nothing else.,Celebrating people,planet and pure tea.,Sweet honey South African nectar.,18 non-GMO biodegradable tea bags.,USDA organic.,Home is a painted memory.,Experience Numi's artistic journey on inside of box at numitea.com.,Planet:Through thoughtful choices,we are committed to reducing our impact on the planet.,Organic tea cultivation protects the health of farmers,the planet and you.,Natural biodegradable filter-paper tea bags not GMO corn or plastic silky bags.,Recyclable boxes made of 85 post-consumer waste,printed with soy-based inks and without unneeded shrink-wrap.,Programs that lower and offset our carbon emissions including a solar-powered production facility.,Most elements of this package can be recycled or composted!,Big tree renewable energy,bigtreeclimatefund.com.,Certified B Corporation,meeting standards in sustainability.,Numi introduced organic wild-harvested Honeybush to the U.S. in 1999.,Since then,our partners have sustainably harvested this plant as a primary source of income for the local people.,Photo taken by our quality assurance manager.,Tom (2010),.,People:We are artists,alchemists,world travelers,tea lovers and above all,a brother and sister.,Our dedicated tea'm shares our mission of bringing you the best tasting organic tea,sourced directly from fair labor gardens because we believe all people should be paid a wage that allows their families to thrive.,Founders,Ahmed Reem Rahim.,To learn more about our commitment to people,planet and pure tea,visit us at numitea.com.,Premium organic teas herbs.,Real fruits,flowers spices.,No natural flavors or fragrances.,From South Africa,our organic Honeybush is a flowering shrub that yields a rich earthy brew with sweet honey overtones.,This secret healer is rich in antioxidants.,All tea is gluten free.,See honeybush milk tart recipe using this tea on inside flap.,Certified organic by QAI.,Halal.,Eco-responsibility audit.,Through thoughtful choices,Numi annually conserves:Trees saved - Landfill reduced (lbs.),- Energy reduced (000),BTU - Water reduced (gallons),- Net greenhouse emissions.,5,202 - 334,560 - 2,754 million - 2,332,740 - 470,475.,Environmental impact estimates were made using the Environmental Defense Fund Paper Calculator.,For more information visit http://www.papercalculator.org.,Please be thoughtful and recycle!,Printed with soy ink.,All rights reserved.,infonumitea.com.,888.404.6864.,www.numitea.com.,2010,Numi,Inc."
4536,"Coronado Gourmet Goat Milk Caramel Spread, 7.28 oz","Goat MILK,Corn Syrup,Sugar,Artificial Flavor,Potassium Sorbate (Preservative),Sodium Bicarbonate,Goat Milk,White Wine,Potassium Sorbate As Presrvative And Sodium Bicarbonate."
4537,Betty Crocker Tom _ Jerry Fruit Flavored Snacks Assorted Flavors 10 - 0.8 oz Pouches,"Corn Syrup,Sugar,Modified Corn Starch,Apple Juice Concentrate. Contains 2% or Less of: Citric Acid,Fruit Pectin,Sodium Citrate,Malic Acid,Dextrose,Potassium Citrate,Vitamin C (Ascorbic Acid),Sunflower Oilï¿½ï¿½ï¿½,ï¿½ï¿½Color (Vegetable Juice,Spirulina Extract,Fruit Juice,ï¿½ï¿½Turmeric Extract,andï¿½ï¿½Annatto Extract),Natural Flavor,Carnauba Wax.ï¿½ï¿½ï¿½Adds a Trivial Amount of Fat.,Pear Juice Concentrate,Apple Juice Concentrate,Contains 2 or Less of: Citric Acid,Color (Vegetable Juice, Fruit Juice, Spirulina Extract and Turmeric Extract),Sunflower Oil,Carnauba Wax.Adds a Trivial Amount of Fat."
4538,Arrowhead Mills Organic Amaranth Flakes 12 oz,"Organic Whole Grain Oat Flakes,Organic Whole Grain Amaranth Flour,Organic Whole Grain Oat Flour,Organic Whole Grain Brown Rice Flour,Organic Whole Grain Yellow Corn Flour,Organic Fruit Juice Concentrate (Apple Or Pear),Organic Whole Grain Rye Flour,Ascorbic Acid (Vitamin C) and Natural Vitamin E (to preserve freshness)."
4539,Traditional Medicinals Herbal Teas Organic Ginger With Chamomile Tea Bags - 16 CT,"All Herbal Ingredients: Proprietary Blend: Organic Ginger Rhizome (100% Fair Trade Certified Ingredients by Dry Weight,www.Fairtradeusa. org),Organic Chamomile Flower (100% Fair Trade Certified Ingredients by Dry Weight,www.Fairtradeusa.org).,Organic ginger rhizome, organic German chamomile flower."
4541,"Spectrum Expeller Pressed Unrefined Toasted Sesame Oil, 16 Fl Oz","100% MECHANICALLY (EXPELLER) PRESSED UNREFINED TOASTED SESAME OIL.,100% mechanically (expeller) pressed unrefined toasted sesame oil.,100% mechanically (expeller),pressed unrefined toasted sesame oil."
4542,"Nature's Path Organic Heritage O's Cereal, 32 Ounce Bag","WHOLE OAT FLOUR*,WHOLE WHEAT MEAL*,KAMUT KHORASAN WHEAT FLOUR*,EVAPORATED CANE JUICE*,SPELT FLOUR*,BARLEY FLOUR*,BARLEY MALT EXTRACT*,QUINOA FLOUR*,MILLET FLOUR*,SEA SALT,HONEY*."
4543,Twinings of London? Earl Grey 100 ct Tea Bags 7.05 oz. Box,"Black Tea,Bergamot Flavouring.,Black Tea, Bergamot Flavouring,Black tea."
4544,Smart BalanceÂ® Original Non-Stick Cooking Spray 6 oz. Aerosol Can,"Vegetable Oil Blend* (Canola,Soy and Olive Oils),Soy Lecithin,Grain Alcohol (Preservative),Dimethylpolysiloxane and Propellant.Â *Adds a Trivial Amount of Fat.,Vegetable Oil Blend* (Canola, Soy and Olive Oils),Dimethylpolysiloxane and Propellant.*Adds a Trivial Amount of Fat."
4546,"Bobs Red Mill 100% Stone Ground Whole Wheat Flour, 80 oz","Whole Grain Hard Red Wheat.,Stone Ground U.S. No.1 Dark Northern Spring Wheat."
4548,"Nick's Sticks Grass-Fed Beef Snack Sticks, 1.7 oz","Beef,Water,Redmond Seasoned Salt (Sea Salt,Onion,Coriander,Spices,Mustard,Black Pepper,Paprika,Herbs),Lactic Acid,Celery Juice.,Grass-fed beef, water, Redmond Seasoned Salt (sea salt, spices [including coriander, black pepper, celery, mustard, parsley, paprika, turmeric], garlic, onion), encapsulated lactic acid, cultured celery powder (celery powder, sea salt).,beef, water, Redmond Seasoned salt (sea salt, onion, coriander, mustard, black pepper, paprika, celery seed, turmeric, and parsley), lactic acid (derived from non-GMO beets), celery juice. In beef collagen casing.,beef, water, Redmond Seasoned salt (sea salt, onion, coriander, mustard, black pepper, paprika, celery seed, turmeric, and parsley), lactic acid (derived from non-GMO beets), celery juice."
4549,CAFFE D'VITA WHITE CHOCOLATE CAPPUCCINO MIX,"Sugar,Nondairy Creamer [Contains Non-Hydrogenated Coconut Oil,Corn Syrup Solids,Sodium Caseinate (a Milk Derivative),Tricalcium Phosphate,Dipotassium Phosphate (Aids Dissolving),Propylene Glycol Esters of Fatty Acids,Mono- and Diglycerides (Emulsifier),Salt,Soy Lecithin,Artificial Flavor],Arabica Coffee,Nonfat Dry Milk,Natural and Artificial Flavor,Silicon Dioxide (Prevents Caking),Cocoa (Dutch Processed).,Nondairy Creamer Contains Non-Hydrogenated Coconut Oil,Sodium Silico Aluminate,Carrageenan,Cocoa (Dutch Processed),."
4550,"Simply7 Hummus Chips, Sea Salt, 5 Ounce","Chickpea Flour,Rice,Potato Starch,Sunflower and/or Safflower Oil,Corn Flour,Sea Salt,Rice Flour,Organic Nonfat Dry Milk,Dehydrated Garlic,Dehydrated Onion,Evaporated Cane Sugar,Olive Oil,Natural Flavors,Citric Acid,Spice."
